original_title,overview,genre names,keywords
shrek the third,king died shrek fiona king amp queen shrek return cozy swamp live peace quiet heir throne set bring rule kingdom,fantasy adventure animation comedy family,ambush sadness stage liberation prisoners island traitor shipwreck prince ship donkey kingdom theatre play transformation conciliation tricks heir throne assault boarding school coup detat teacher friend dragon cowardliness pregnancy capture duringcreditsstinger
warcraft,peaceful realm azeroth stands brink war civilization fearsome race invaders orc warriors fleeing dying home colonize portal connect worlds army destruction extinction opposing heroes set collision course decide fate family people home,action adventure fantasy,video game elves orcs magic chase based comic book sorcerer fictional war based video game wizard fictional language muscles orc sword sorcery
terminator genisys,2029 john connor leader resistance continues war machines los angeles offensive johns fears unknown future begin emerge tecom spies reveal plot skynet attack fronts past future ultimately change warfare forever,science fiction action thriller adventure,saving world artificial intelligence cyborg killer robot future time travel dystopia sequel fiction duringcreditsstinger 3d
the chronicles of narnia: the voyage of the dawn treader,time edmund lucy pevensie pesky cousin eustace scrubb themselves swallowed painting fantastic narnian ship headed edges world,adventure family fantasy,based novel magic vs evil king narnia fantasy world knife held throat snowing quest
pearl harbor,lifelong friendship rafe mccawley danny walker ultimate test ace fighter pilots entangled love triangle beautiful naval nurse evelyn johnson rivalry friendsturnedfoes immediately hold themselves center japans devastating attack pearl harbor dec 7 1941,history romance war,nurse patriotism hawaii world war ii pilot pearl harbor air force airplane war army love pinup
transformers,teenager sam witwicky involved ancient struggle extraterrestrial factions transforming robots â heroic autobots evil decepticons sam holds clue unimaginable power decepticons stop retrieve,adventure science fiction action,destroy transformation alien based toy transformers robot duringcreditsstinger teenage hero
alexander,alexander king macedonia leads legions giant persian empire defeating persians leads army world venturing farther westerner gone india,war history action adventure drama romance,aristotle egypt greece persia elephant campaign alexander homosexuality gay relationship ancient world
harry potter and the order of the phoenix,returning fifth study hogwarts harry stunned warnings return lord voldemort ignored left choice harry takes matters own hands training students â dubbed dumbledores army â defend themselves dark arts,adventure fantasy family mystery,prophecy witch loss lover magic cutting cord child hero dying death broom sorcerers apprentice school witchcraft black magic death friend sorcery occultism
harry potter and the goblet of fire,harry starts fourth hogwarts competes treacherous triwizard tournament evil lord voldemort ron hermione help harry manage pressure â voldemort lurks awaiting chance destroy harry stands,adventure fantasy family,magic dying death broom sorcerers apprentice school witchcraft chosen black magic boarding school vision tournament teenager wizard teenage hero based adult novel
hancock,hancock downandout superhero whos forced employ pr expert help repair image public grows weary damage hes inflicted lifesaving heroics agents idea imprisoning antihero world miss proves successful hancock stick sense purpose slip habits,fantasy action,flying alcohol love ones life forbidden love lovers affection advertising expert alcoholism invulnerability superhero pokies duringcreditsstinger
i am legend,robert neville scientist unable stop spread terrible virus incurable manmade immune neville human survivor left york city world neville faithfully sent daily radio messages desperate survivors,drama horror action thriller science fiction,saving world lost civilisation postapocalyptic dystopia matter life death helplessness virus pandemic
